target_pitch,actual_pitch,target_roll,actual_roll,estimated_total_velocity,vertical_velocity,a_x,a_y,a_z
14.720000,12.358368,0.581644,1.233423,9.953399,0.891685,1.599358,0.055067,10.368091
16.160000,12.252798,0.498982,0.643563,9.965886,0.912508,1.575504,0.293290,10.330980
17.160000,12.226701,0.457804,0.200312,9.975638,0.914949,1.551651,0.154426,9.888053
19.080000,12.326514,0.458472,0.258329,9.986410,0.899462,1.508716,0.007183,9.374496
19.520000,12.432551,0.458978,0.245900,9.993363,0.880517,1.534954,0.132878,9.716867
18.799999,12.535526,0.313288,0.146003,10.000413,0.865132,1.537339,0.106542,9.903615
13.480000,12.738217,0.083754,0.324595,10.017547,0.889082,1.704312,-0.099359,10.183737
9.240000,12.747388,0.062873,0.564865,10.026343,0.905344,1.822385,-0.162806,10.963050
6.800000,12.389918,0.041897,0.440298,10.036032,0.945684,1.781835,0.356736,9.442732
3.360000,11.663334,0.020915,0.076744,10.047014,0.877408,1.657798,-0.244209,8.864532
0.080000,11.358337,-0.041778,0.401649,10.045377,0.828490,1.552844,-0.231040,9.103952
-0.000000,11.076001,-0.125204,0.688696,10.044811,0.786517,1.633945,-0.104148,8.802282
-0.000000,10.494899,-0.104131,0.283620,10.044401,0.739583,1.612477,0.149638,10.479421
-0.000000,9.548224,-0.020768,-0.644256,10.045790,0.730235,1.777064,-0.226252,9.223662
0.400000,8.442387,-0.020657,-0.940696,10.022638,0.708677,1.611284,0.098162,9.071630
2.080000,8.089710,-0.020581,-0.795423,9.994325,0.588528,1.605321,-0.111330,7.874529
3.240000,7.976506,-0.020522,-0.700138,9.968472,0.550257,1.864128,-0.229843,9.758766
4.240000,7.565756,-0.020461,-0.640958,9.948878,0.574524,1.687615,0.363919,10.752359
5.720000,7.276075,-0.020419,-0.365366,9.934670,0.606157,1.687615,0.228646,9.878476
7.560000,7.255575,-0.020386,-0.281234,9.919308,0.607879,1.641101,0.214281,10.184934
10.720000,7.134157,-0.081397,-0.643622,9.904030,0.610397,1.532569,0.393846,9.087193
11.240000,7.057949,-0.142165,-1.152704,9.886239,0.585655,1.381101,-0.074220,9.319430
11.760000,7.344683,-0.182636,-1.418118,9.872047,0.567055,1.598165,-0.149638,10.048465
